name,address,type,Phone,url,latitude,longitude,time,Description,Afterschool
SMACK,"CFA CHURCH, 150 Warren C Coleman Blvd N, Concord, NC 28027",Arts,(980) 643-1971,https://www.smackinfo.com,35.39769166,-80.60725138,Daycamp,,
Summer Arts Camp,"1315 South Nc 16 Highway Business, Denver, NC 28037",Arts, (980) 247-0475,https://www.ncsummerartscamp.com,35.416277,-81.010495,Daycamp,Ages 3-14,
Childrens Theatre of Charlotte,"300 E 7th St Charlotte, NC 28202",Arts,704-973-2828,https://ctcharlotte.org/Online/default.asp?doWork::WScontent::loadArticle=Load&BOparam::WScontent::loadArticle::article_id=27420D7C-5F3D-4DE5-B194-3F7BAD383AAE&menu_id=26D942A7-8314-4559-B4F6-A0887A401698,35.2275591,-80.8376,Daycamp,Ages 3-18,
Childrens Theatre of Charlotte,"2800 Campus Ridge Rd Suite 1113, Matthews NC 28105",Arts,704-973-2828,https://ctcharlotte.org/Online/default.asp?doWork::WScontent::loadArticle=Load&BOparam::WScontent::loadArticle::article_id=27420D7C-5F3D-4DE5-B194-3F7BAD383AAE&menu_id=26D942A7-8314-4559-B4F6-A0887A401698,35.106532,-80.693912,Daycamp,Ages 3-18,
Childrens Theatre of Charlotte,"2001 Gaston Day School Rd, Gastonia NC 29056",Arts,704-973-2828,https://ctcharlotte.org/Online/default.asp?doWork::WScontent::loadArticle=Load&BOparam::WScontent::loadArticle::article_id=27420D7C-5F3D-4DE5-B194-3F7BAD383AAE&menu_id=26D942A7-8314-4559-B4F6-A0887A401698,35.199181,-81.142216,Daycamp,Ages 3-18,
Camp Carolina,1 Lambs Creek Rd Brevard NC 28712,Boys,(828) 884-2414,https://www.campcarolina.com,35.26378825,-82.71556338,Overnight,Summer camp for K-11th grade; Father Son weekend,
Camp High Rocks,1234 High Rocks Rd Brevard NC 28712,Boys,(828) 885-2153,https://www.highrocks.com,35.1487231,-82.68646159,Overnight,Summer camp for K-10th grade; Faterh Son weekend; Family Camp,
Camp Mondamin,413 Mondamin Rd Zirconia NC 28790,Boys,(828) 693-7446,https://www.mondamin.com,35.22317712,-82.4264846,Overnight,Ages 6-18; Family weekends,
Camp Ridgecrest For Boys,105 Balsam Rd Hendersonville NC 28792,Boys,(828) 669-8051,https://boys.ridgecrestcamps.com,35.29568424,-82.44993963,Overnight,Grades 1-12,
Camp Rockmont,375 Lake Eden Rd Black Mountain NC 28711,Boys,(828) 686-3885,https://www.rockmont.com,35.63087557,-82.36131748,Overnight,Ages 7-17,
Camp Sea Gull For Boys,218 Sea Gull Lndg Arapahoe NC 28510,Boys,(252) 249-1111,https://www.seagull-seafarer.org,34.972682,-76.805591,Overnight,Ages 6-16,
Camp Timberlake,707 Dink Cannon Rd Marion NC 28752,Boys,(828) 738-4287,https://www.camptimberlake.com,35.59229075,-82.01982277,Overnight,Grades 1-11; Fater-Son weekends; Family Camp,
Falling Creek Camp,"2900 Green River Road Zirconia, North Carolina 28790",Boys,(828) 692-0262,https://www.fallingcreek.com,35.188126,-82.500771,Overnight,Grades 1-11; Father-son,
Ridgecrest Summer Camps,290 Yates Ave Ridgecrest NC 28770,Boys,(828) 669-8051,https://boys.ridgecrestcamps.com,35.61839458,-82.27797962,Overnight,Grades 1-11,
Dance Express,6932 Market St Wilmington NC 28411,Arts,(910) 790-9980 ,https://danceexpresswilmington.com,34.26331675,-77.82801334,Daycamp,Ages 3-14,
Dance Express,"16865 Highway 17 N Hampstead, NC 28443",Arts,(910) 790-9980,https://www.danceexpresswilmington.com,34.389859,-77.684333,Daycamp,Ages 3-14,
In His Steps,159 Church St Asheville NC 28801,Arts,(828) 285-0360,https://ihsdanceasheville.wixsite.com/in-his-steps,35.58919018,-82.55249258,Daycamp,Ages 5 and up,
On Stage School of Dance,3745 Admiral Dr High Point NC 27265,Arts,(336) 841-0931,http://www.onstageschoolofdance.com,36.02797434,-79.96615181,Daycamp,Ages 4 and up,
Outer Banks Ctr For Dance,2910 S Croatan Hwy Nags Head NC 27959,Arts,(252) 480-1086,http://obxdance.com,35.97807422,-75.641177,Daycamp,,
Premier School of Dance,107 Edinburgh S Dr # 100A Cary NC 27511,Arts,(919) 851-2570,http://www.premierschoolofdance.com,35.73744027,-78.8001865,Daycamp,Ages 2.5-9,
Studio A Dancearts,1714 Legion Rd Chapel Hill NC 27517,Arts,(919) 929-5202,http://www.studioadancearts.com,35.93933446,-79.01710311,Daycamp,Ages 3 and up,
Adventure Camp For Christ Inc,220 Woodberry Cir Raeford NC 28376,Faith-based,(910) 000-1111,https://www.acfc1.org,35.03091232,-79.11130045,Overnight,Grades 5-12,
Ambassador Camp,702 Lakeshore Dr Lake Waccamaw NC 28450,Faith-based,(910) 646-3909,https://www.ambassadorcamp.org,34.31399919,-78.51228512,Overnight,Ages 8-12,
Ambassador Camp,702 Lakeshore Dr Lake Waccamaw NC 28450,Faith-based,(910) 646-3909,https://www.ambassadorcamp.org,34.31399919,-78.51228512,Daycamp,Ages 5-7,
Anchorage Christian Camp,412 Lakeshore Dr Lake Waccamaw NC 28450,Faith-based,(910) 646-4111,https://www.theanchoragecamp.org,34.31569083,-78.5181032,Overnight,Grades 3-12,
